,Accession,HieVi_l0,HieVi_l1,HieVi_l2,HieVi_l3
3288,KR296688,2276,229,4,3
3289,KR296689,3214,230,217,184
3290,KR296690,-1,-1,-1,-1
3291,KR296691,3214,230,217,184
3292,KR296692,-1,-1,-1,-1
3293,KR296693,-1,-1,-1,-1
3294,KR296694,-1,-1,-1,-1
3295,KR296695,413,-1,-1,-1
3296,KR337643,-1,197,185,165
3297,KR337644,-1,197,185,165
3298,KR337645,-1,197,185,165
3299,KR337646,-1,197,185,165
3300,KR337647,-1,197,185,165
3301,KR337648,1036,197,185,165
3302,KR337649,1177,197,185,165
3303,KR337650,-1,197,185,165
3304,KR337651,-1,197,185,165
3305,KR337652,1145,197,185,165
3306,KR337653,1177,197,185,165
3307,KR337654,1073,197,185,165
3308,KR347352,1169,197,185,165
3309,KR347353,1169,197,185,165
3310,KR347354,-1,197,185,165
3311,KR347355,-1,197,185,165
3312,KR422352,-1,633,595,742
3313,KR422353,-1,1432,595,742
3314,KR534323,-1,1032,968,742
3315,KR537871,-1,1459,1337,1028
3316,KR537872,3105,1459,1337,1028
3317,KR560069,-1,-1,738,742
3318,KR604693,-1,-1,578,784
3319,KR698074,-1,849,794,742
3320,KR704913,103,-1,-1,-1
3321,KR704914,-1,-1,-1,-1
3322,KR704915,103,-1,-1,-1
3323,KR709302,3021,231,218,202
3324,KR709303,3021,231,218,202
3325,KR781349,-1,900,843,645
3326,KR781488,2074,362,340,273
3327,KR816341,-1,-1,-1,-1
3328,KR816508,-1,900,843,645
3329,KR824843,-1,491,463,360
3330,KR869157,5184,1313,1214,938
3331,KR869820,5422,633,595,742
3332,KR902361,-1,1145,1066,310
3333,KR902978,1172,197,185,165
3334,KR902979,-1,197,185,165
3335,KR902980,-1,197,185,165
3336,KR902981,1173,197,185,165
3337,KR902982,1173,197,185,165
3338,KR902983,1172,197,185,165
3339,KR902984,1172,197,185,165
3340,KR902985,1172,197,185,165
3341,KR902986,-1,197,185,165
3342,KR902987,-1,197,185,165
3343,KR905066,1960,-1,-1,185
3344,KR905067,1960,-1,-1,185
3345,KR905068,1899,-1,-1,186
3346,KR905069,1967,232,219,187
3347,KR905070,1960,-1,-1,-1
3348,KR908644,5181,1145,1066,310
3349,KR935213,2952,1029,964,739
3350,KR935214,5192,491,463,360
3351,KR935215,2952,1029,964,739
3352,KR935216,1253,233,220,188
3353,KR935217,1253,233,220,188
3354,KR997929,-1,555,525,1015
3355,KR997930,4995,491,463,360
3356,KR997931,4995,491,463,360
3357,KR997932,4325,573,542,645
3358,KR997933,4359,1182,1097,840
3359,KR997934,5069,555,525,1015
3360,KR997967,-1,900,843,645
3361,KR997968,4995,491,463,360
3362,KT001911,1212,177,164,152
3363,KT001912,-1,-1,-1,-1
3364,KT001913,1805,-1,-1,-1
3365,KT001914,-1,-1,-1,-1
3366,KT001915,5444,633,595,742
3367,KT001916,5102,848,793,742
3368,KT001917,5436,849,794,742
3369,KT001918,5527,633,595,742
3370,KT001919,-1,633,595,742
3371,KT001920,4319,1449,1327,807
3372,KT004677,-1,174,161,1015
3373,KT008108,2724,1462,1339,1031
3374,KT020852,-1,888,831,593
3375,KT021004,-1,-1,-1,-1
3376,KT070866,4782,1011,946,310
3377,KT070867,-1,1242,1152,310
3378,KT070868,1894,1403,1288,995
3379,KT124227,3991,1134,1057,806
3380,KT124228,3965,1134,1057,806
3381,KT124229,-1,1134,1057,806
3382,KT151955,4659,234,221,189
3383,KT151956,2124,157,145,134
3384,KT151957,4659,234,221,189
3385,KT151958,2124,157,145,134
3386,KT151959,-1,-1,-1,310
3387,KT152029,4009,1134,1057,806
3388,KT160311,-1,-1,-1,-1
3389,KT176190,5532,633,595,742
3390,KT184308,5641,633,595,742
3391,KT184309,5592,633,595,742
3392,KT184310,5592,633,595,742
3393,KT184311,5662,633,595,742
3394,KT184312,5649,633,595,742
3395,KT184313,5362,848,793,742
3396,KT184314,5362,848,793,742
3397,KT184315,5442,848,793,742
3398,KT184316,5526,848,793,742
3399,KT184390,3967,1134,1057,806
3400,KT184391,-1,1134,1057,806
3401,KT184661,-1,-1,-1,665
3402,KT184694,4068,715,161,1015
3403,KT186228,4011,1134,1057,806
3404,KT186229,4011,1134,1057,806
3405,KT186243,-1,-1,406,202
3406,KT187252,4943,1165,386,310
3407,KT206225,-1,-1,-1,-1
3408,KT207918,4946,410,386,310
3409,KT221033,-1,-1,-1,-1
3410,KT221034,1973,-1,-1,-1
3411,KT222940,-1,192,179,162
3412,KT222941,-1,888,831,593
3413,KT222942,4515,888,831,593
3414,KT224359,-1,1165,386,310
3415,KT232076,-1,976,912,290
3416,KT239446,5581,633,595,742
3417,KT240186,-1,-1,-1,784
3418,KT246485,-1,192,179,162
3419,KT246486,-1,174,161,1015
3420,KT253150,1253,233,220,188
3421,KT254130,4984,1313,1214,938
3422,KT254131,4985,1313,1214,938
3423,KT254132,4984,1313,1214,938
3424,KT254133,4984,1313,1214,938
3425,KT259047,5105,555,525,1015
3426,KT264749,1192,-1,-1,-1
3427,KT264750,-1,-1,-1,-1
3428,KT264751,1192,-1,-1,-1
3429,KT264752,-1,-1,-1,-1
3430,KT264753,1333,235,222,190
3431,KT264754,1194,-1,-1,-1
3432,KT264755,1214,-1,-1,-1
3433,KT264756,1368,-1,-1,-1
3434,KT264757,1245,-1,-1,-1
3435,KT264758,1369,-1,-1,-1
3436,KT264759,1220,-1,-1,-1
3437,KT264760,1325,-1,-1,-1
3438,KT264761,-1,-1,-1,-1
3439,KT264762,-1,-1,-1,-1
3440,KT264763,1195,-1,-1,-1
3441,KT264764,1195,-1,-1,-1
3442,KT264765,1336,-1,-1,-1
3443,KT264766,-1,-1,-1,-1
3444,KT264767,-1,-1,-1,-1
3445,KT264768,-1,-1,-1,-1
3446,KT264769,-1,-1,-1,-1
3447,KT264770,-1,-1,-1,-1
3448,KT264771,-1,-1,-1,-1
3449,KT264772,-1,-1,-1,-1
3450,KT264773,960,-1,-1,-1
3451,KT264774,1271,-1,-1,-1
3452,KT264775,876,-1,-1,-1
3453,KT264776,440,-1,-1,-1
3454,KT264777,411,236,223,191
3455,KT264778,411,236,223,191
3456,KT264779,-1,-1,-1,-1
3457,KT264780,-1,-1,-1,-1
3458,KT264781,-1,-1,-1,-1
3459,KT264782,641,-1,-1,-1
3460,KT264783,641,-1,-1,-1
3461,KT264784,947,-1,-1,-1
3462,KT264785,1093,-1,-1,-1
3463,KT264786,556,-1,-1,-1
3464,KT264787,952,-1,-1,-1
3465,KT264788,1079,-1,-1,-1
3466,KT264789,1079,-1,-1,-1
3467,KT264790,-1,-1,-1,-1
3468,KT264791,-1,-1,-1,-1
3469,KT264792,955,-1,-1,-1
3470,KT264793,955,-1,-1,-1
3471,KT264794,462,-1,-1,-1
3472,KT264795,-1,-1,-1,-1
3473,KT264796,-1,-1,-1,-1
3474,KT264797,1003,-1,-1,-1
3475,KT264798,1096,-1,-1,-1
3476,KT264799,1095,-1,-1,-1
3477,KT264800,1092,237,224,192
3478,KT264801,1092,237,224,192
3479,KT264802,962,-1,-1,-1
3480,KT264803,885,-1,-1,-1
3481,KT264804,-1,-1,-1,-1
3482,KT264805,950,-1,-1,-1
3483,KT264806,916,508,480,380
3484,KT264807,877,-1,-1,-1
3485,KT264808,1326,-1,-1,-1
3486,KT264809,-1,-1,-1,-1
3487,KT264810,-1,-1,-1,-1
3488,KT264811,1155,-1,-1,-1
3489,KT264812,98,238,225,193
3490,KT264813,-1,-1,-1,-1
3491,KT264814,1324,-1,-1,-1
3492,KT264815,1339,205,193,169
3493,KT264816,414,239,226,194
3494,KT264817,414,239,226,194
3495,KT264818,1118,-1,-1,-1
3496,KT264819,1118,-1,-1,-1
3497,KT264820,1288,-1,-1,-1
3498,KT264821,1288,-1,-1,-1
3499,KT264822,1328,1623,1490,1164
3500,KT264823,-1,-1,-1,-1
3501,KT264824,1311,-1,-1,635
3502,KT264825,-1,-1,-1,-1
3503,KT264826,1084,-1,-1,-1
3504,KT264827,-1,-1,-1,-1
3505,KT264828,-1,-1,-1,-1
3506,KT264829,1265,-1,-1,-1
3507,KT264830,-1,-1,-1,-1
3508,KT264831,1217,-1,-1,-1
3509,KT264832,-1,-1,-1,-1
3510,KT264833,-1,-1,-1,-1
3511,KT264834,-1,-1,-1,-1
3512,KT264835,-1,-1,-1,-1
3513,KT266805,3439,-1,93,86
3514,KT270441,4590,299,843,645
3515,KT279576,5026,491,463,360
3516,KT281789,3994,309,291,239
3517,KT281790,4613,631,593,208
3518,KT281791,4030,829,775,593
3519,KT281792,4276,240,463,360
3520,KT281793,4995,491,463,360
3521,KT281794,4079,829,775,593
3522,KT281795,5171,491,463,360
3523,KT281796,4096,596,559,587
3524,KT285706,4434,305,1314,1015
3525,KT287080,-1,-1,-1,668
3526,KT307976,4916,410,386,310
3527,KT309034,-1,491,463,360
3528,KT319602,-1,-1,-1,-1
3529,KT319607,-1,-1,-1,-1
3530,KT319620,-1,-1,-1,-1
3531,KT319626,-1,-1,-1,-1
3532,KT321314,-1,-1,1339,1031
3533,KT321315,-1,633,595,742
3534,KT321316,3375,-1,-1,792
3535,KT321317,3484,775,723,258
3536,KT321476,-1,631,593,208
3537,KT326767,-1,786,734,1015
3538,KT326768,5053,555,525,1015
3539,KT336320,1163,241,227,956
3540,KT336321,1167,242,228,956
3541,KT337339,2759,318,299,246
3542,KT337340,2759,318,299,246
3543,KT337341,-1,-1,297,246
3544,KT337342,-1,-1,-1,248
3545,KT337352,2777,316,297,246
3546,KT337354,2677,-1,-1,246
3547,KT337355,2759,318,299,246
3548,KT337356,-1,316,297,246
3549,KT337358,-1,-1,53,50
3550,KT337359,2677,-1,-1,246
3551,KT337360,-1,-1,-1,70
3552,KT337362,-1,-1,-1,246
3553,KT337364,-1,-1,-1,-1
3554,KT337365,2342,-1,-1,-1
3555,KT337370,-1,-1,-1,-1
3556,KT339177,-1,-1,-1,-1
3557,KT339321,3015,347,326,268
3558,KT344895,3161,1257,1164,202
3559,KT345706,-1,-1,-1,742
3560,KT347313,4159,782,730,103
3561,KT347314,4071,422,398,318
3562,KT353109,5072,1142,1063,742
3563,KT355471,703,297,282,233
3564,KT355472,4232,422,398,318
3565,KT355473,-1,297,282,233
3566,KT355474,-1,422,398,318
3567,KT355475,692,258,282,233
3568,KT359365,4386,786,734,1015
3569,KT361649,2251,558,528,754
3570,KT361650,2251,558,528,754
3571,KT361651,2177,243,229,754
3572,KT361652,2240,1053,986,754
3573,KT361653,2177,243,229,754
3574,KT361654,2135,244,230,947
3575,KT361655,2135,244,230,947
3576,KT361656,2135,244,230,947
3577,KT361657,2135,244,230,947
3578,KT361920,4158,28,25,239
3579,KT363731,-1,555,525,1015
3580,KT363872,5102,848,793,742
3581,KT364588,5032,900,843,645
3582,KT365397,4777,966,901,1015
3583,KT365398,4867,631,593,208
3584,KT365399,4134,422,398,318
3585,KT365400,-1,631,593,208
3586,KT365401,3183,259,244,207
3587,KT365402,4635,573,542,645
3588,KT367885,3704,1685,1339,1031
3589,KT367886,-1,1100,1028,784
3590,KT367887,3285,1456,1333,1025
3591,KT372002,3940,245,231,195
3592,KT372003,4079,829,775,593
3593,KT372690,4984,1313,1214,938
3594,KT372691,4984,1313,1214,938
3595,KT372692,4984,1313,1214,938
3596,KT372693,4984,1313,1214,938
3597,KT372694,-1,1313,1214,938
3598,KT372695,4984,1313,1214,938
3599,KT372696,4984,1313,1214,938
3600,KT372697,4984,1313,1214,938
3601,KT372698,4984,1313,1214,938
3602,KT372714,-1,-1,-1,-1
3603,KT373978,4403,888,831,593
3604,KT375356,3940,245,231,195
3605,KT381276,4350,1098,1314,1015
3606,KT381277,-1,786,734,1015
3607,KT381864,1545,-1,-1,-1
3608,KT381865,1545,-1,-1,-1
3609,KT381879,2710,-1,-1,969
3610,KT381880,5496,633,595,742
3611,KT388014,5052,555,525,1015
3612,KT388093,2360,330,310,254
3613,KT388102,3049,347,326,268
3614,KT388103,3049,347,326,268
3615,KT429160,3815,-1,232,196
3616,KT429161,-1,-1,-1,-1
3617,KT438500,4959,555,525,1015
3618,KT438501,4006,174,161,1015
3619,KT454805,5065,848,793,742
3620,KT454806,5065,848,793,742
3621,KT454972,-1,192,179,162
3622,KT588072,1858,-1,-1,931
3623,KT588073,1818,-1,-1,-1
3624,KT588074,1813,246,233,197
3625,KT588075,1824,1094,1023,968
3626,KT588442,-1,1098,1314,1015
3627,KT591076,4449,729,683,538
3628,KT591489,-1,829,775,593
3629,KT591490,4070,1703,1567,239
3630,KT591491,-1,574,543,593
3631,KT599441,5411,900,843,645
3632,KT624200,-1,-1,-1,-1
3633,KT626047,5035,555,525,1015
3634,KT626446,-1,-1,-1,-1
3635,KT630644,1401,-1,726,562
3636,KT630645,1376,247,234,198
3637,KT630646,1376,247,234,198
3638,KT630647,-1,-1,-1,562
3639,KT630648,-1,-1,-1,-1
3640,KT630649,-1,-1,-1,-1
3641,KT716399,-1,-1,-1,-1
3642,KT716493,4778,966,901,1015
3643,KT717083,2788,418,394,199
3644,KT717084,-1,248,235,199
3645,KT717085,2913,248,235,199
3646,KT724718,-1,-1,-1,-1
3647,KT725776,2121,-1,-1,224
3648,KT728930,332,249,236,200
3649,KT728931,332,249,236,200
3650,KT734862,-1,1470,1347,1040
3651,KT736033,5241,382,357,742
3652,KT755656,1759,-1,527,410
3653,KT780304,-1,-1,-1,-1
3654,KT783672,744,297,282,233
3655,KT803877,1784,-1,550,425
3656,KT804908,3107,347,326,268
3657,KT804923,5241,382,357,742
3658,KT809302,633,-1,-1,201
3659,KT809368,2852,250,237,202
3660,KT809369,-1,-1,-1,202
3661,KT818595,-1,555,525,1015
3662,KT820175,-1,-1,-1,-1
3663,KT825490,-1,181,168,807
3664,KT852574,2723,1685,1339,1031
3665,KT852578,-1,-1,-1,-1
3666,KT870145,4396,833,779,116
3667,KT876724,3426,1015,949,727
3668,KT876725,1885,1117,1042,795
3669,KT876726,3464,1015,949,727
3670,KT878766,2849,198,186,202
3671,KT880194,-1,573,542,645
3672,KT881477,3771,1364,873,668
3673,KT887557,2028,-1,-1,526
3674,KT887558,1724,-1,-1,36
3675,KT887559,968,-1,-1,988
3676,KT895280,4265,251,463,360
3677,KT895281,5284,491,463,360
3678,KT895374,-1,-1,-1,-1
3679,KT898133,-1,-1,-1,-1
3680,KT898134,-1,-1,-1,-1
3681,KT919972,5297,926,595,742
3682,KT919973,5287,926,595,742
3683,KT932418,5215,1032,968,742
3684,KT932699,-1,1183,1098,841
3685,KT932700,-1,-1,888,682
3686,KT932701,-1,-1,401,931
3687,KT934381,1036,197,185,165
3688,KT934943,-1,88,84,742
3689,KT945994,-1,-1,-1,-1
3690,KT945995,747,632,594,458
3691,KT949345,2969,760,710,665
3692,KT959213,3940,245,231,195
3693,KT962245,3440,252,238,203
3694,KT962246,3440,252,238,203
3695,KT962247,3441,252,238,203
3696,KT962832,3771,1364,873,668
3697,KT964103,-1,-1,1028,784
3698,KT967075,2133,484,459,359
3699,KT968831,-1,-1,-1,-1
3700,KT968832,-1,262,247,209
3701,KT970645,2132,-1,-1,-1
3702,KT970646,2131,253,239,204
3703,KT989433,-1,-1,-1,400
3704,KT990215,-1,-1,1064,1031
3705,KT990218,3940,245,231,195
3706,KT995480,4935,1165,386,310
3707,KT997847,-1,-1,-1,-1
3708,KU052037,2166,-1,-1,-1
3709,KU052038,-1,-1,-1,-1
3710,KU052488,3141,-1,409,324
3711,KU055616,-1,966,901,1015
3712,KU057941,1564,254,240,205
3713,KU064779,-1,840,786,1076
3714,KU130126,5000,255,241,742
3715,KU130127,5000,255,241,742
3716,KU130128,5000,255,241,742
3717,KU130129,4999,255,241,742
3718,KU130130,4999,255,241,742
3719,KU130131,5000,255,241,742
3720,KU160494,4914,-1,-1,742
3721,KU160495,-1,-1,-1,-1
3722,KU160496,-1,-1,-1,-1
3723,KU160638,2839,257,243,206
3724,KU160639,2840,257,243,206
3725,KU160640,3583,624,585,453
3726,KU160641,2256,256,242,592
3727,KU160642,2118,816,762,592
3728,KU160643,-1,624,585,453
3729,KU160644,-1,-1,1168,579
3730,KU160645,-1,624,585,453
3731,KU160646,-1,256,242,592
3732,KU160647,2840,257,243,206
3733,KU160648,3531,624,585,453
3734,KU160649,3596,624,585,453
3735,KU160650,-1,-1,-1,-1
3736,KU160651,3183,259,244,207
3737,KU160652,3533,624,585,453
3738,KU160653,3493,624,585,453
3739,KU160654,3722,405,381,305
3740,KU160655,-1,297,282,233
3741,KU160656,3193,259,244,207
3742,KU160657,692,258,282,233
3743,KU160658,703,297,282,233
3744,KU160659,-1,624,585,453
3745,KU160660,3754,407,384,307
3746,KU160661,-1,624,585,453
3747,KU160662,3510,624,585,453
3748,KU160663,2840,257,243,206
3749,KU160664,3722,405,381,305
3750,KU160665,3192,259,244,207
3751,KU160666,2840,257,243,206
3752,KU160667,692,258,282,233
3753,KU160668,3193,259,244,207
3754,KU160669,4448,260,245,208
3755,KU160670,700,297,282,233
3756,KU160671,3531,624,585,453
3757,KU160672,3461,624,585,453
3758,KU160673,4448,260,245,208
3759,KU160674,703,297,282,233
3760,KU183006,-1,1685,1339,1031
3761,KU189325,3801,534,504,400
3762,KU194205,3309,910,1059,807
3763,KU194206,3476,910,1059,807
3764,KU197013,2894,261,246,901
3765,KU197014,2918,-1,-1,-1
3766,KU198331,5005,1313,1214,938
3767,KU199707,-1,262,247,209
3768,KU199708,1616,262,247,209
3769,KU199709,1635,262,247,209
3770,KU199710,2050,203,191,526
3771,KU204984,3494,1380,1270,1221
3772,KU230356,1786,720,677,531
3773,KU234099,-1,829,775,593
3774,KU234532,2321,-1,853,654
3775,KU234533,2321,-1,853,654
3776,KU238067,2152,215,204,273
3777,KU238068,2220,215,204,273
3778,KU238069,2220,215,204,273
3779,KU238070,-1,215,204,273
3780,KU245542,2084,1131,1055,805
3781,KU252585,4211,263,1129,454
3782,KU253712,4860,1165,386,310
3783,KU255188,4287,786,734,1015
3784,KU255730,-1,633,595,742
3785,KU297675,-1,382,357,742
3786,KU297783,4497,1098,1314,1015
3787,KU298437,2074,362,340,273
3788,KU310943,2011,138,129,119
3789,KU310944,2389,-1,-1,-1
3790,KU356689,3514,1700,1564,1040
3791,KU356690,2826,264,248,210
3792,KU356691,2826,264,248,210
3793,KU497559,5241,382,357,742
3794,KU504502,1074,3,3,2
3795,KU510289,-1,344,323,266
3796,KU517658,-1,-1,-1,-1
3797,KU521356,4769,1460,1338,571
3798,KU522583,-1,1355,1250,742
3799,KU530220,3783,-1,-1,400
3800,KU535860,2746,427,402,320
3801,KU568494,4197,308,1314,1015
3802,KU574722,-1,387,708,742
3803,KU577463,4952,1165,386,310
3804,KU578077,4287,786,734,1015
3805,KU594605,-1,186,173,156
3806,KU594606,-1,186,173,156
3807,KU594607,3942,186,173,156
3808,KU595432,-1,1258,1165,901
3809,KU595433,2926,1258,1165,901
3810,KU598975,2981,67,61,202
3811,KU599877,3463,1015,949,727
3812,KU599878,3463,1015,949,727
3813,KU599879,3426,1015,949,727
3814,KU599880,1885,1117,1042,795
3815,KU599881,1885,1117,1042,795
3816,KU599882,-1,1117,1042,795
3817,KU599883,1885,1117,1042,795
3818,KU599884,1886,1117,1042,795
3819,KU599885,1886,1117,1042,795
3820,KU599886,3464,1015,949,727
3821,KU599887,1415,731,685,539
3822,KU599888,1416,731,685,539
3823,KU599889,-1,-1,-1,539
3824,KU613353,-1,305,1314,1015
3825,KU640380,-1,-1,-1,310
3826,KU645528,-1,-1,-1,-1
3827,KU647626,3782,265,249,211
3828,KU647627,3782,265,249,211
3829,KU647628,2104,816,762,592
3830,KU647629,3179,259,244,207
3831,KU665491,-1,-1,-1,-1
3832,KU666550,3221,1100,1028,784
3833,KU678389,-1,594,557,430
3834,KU678390,2579,594,557,430
3835,KU678391,2596,594,557,430
3836,KU678392,-1,-1,-1,-1
3837,KU682439,4686,-1,-1,742
3838,KU686192,3912,186,173,156
3839,KU686193,3912,186,173,156
3840,KU686194,3913,186,173,156
3841,KU686195,-1,186,173,156
3842,KU686196,3913,186,173,156
3843,KU686197,3899,186,173,156
3844,KU686198,3899,186,173,156
3845,KU686199,3899,186,173,156
3846,KU686200,3923,186,173,156
3847,KU686201,3923,186,173,156
3848,KU686202,3923,186,173,156
3849,KU686203,4110,186,173,156
3850,KU686204,3849,186,173,156
3851,KU686205,3849,186,173,156
3852,KU686206,3849,186,173,156
3853,KU686207,4045,186,173,156
3854,KU686208,4045,186,173,156
3855,KU686209,4045,186,173,156
3856,KU686210,-1,186,173,156
3857,KU686211,-1,186,173,156
3858,KU686212,3803,185,172,156
3859,KU686213,3803,185,172,156
3860,KU687347,-1,1462,1339,1031
3861,KU687348,3055,1462,1339,1031
3862,KU687349,-1,1066,1064,1031
3863,KU687350,2899,1066,1064,1031
3864,KU687351,2899,1066,1064,1031
3865,KU695581,4406,1181,1314,1015
3866,KU695582,4309,1433,1314,1015
3867,KU708004,2000,-1,-1,-1
3868,KU708005,-1,-1,-1,-1
3869,KU716094,4455,305,1314,1015
3870,KU716095,4481,305,1314,1015
3871,KU726251,-1,289,274,571
3872,KU728633,3902,780,728,868
3873,KU737344,4947,410,386,310
3874,KU737345,4916,410,386,310
3875,KU737346,4875,410,386,310
3876,KU737347,4901,410,386,310
3877,KU737348,4908,410,386,310
3878,KU737349,-1,410,386,310
3879,KU737350,-1,410,386,310
3880,KU737351,4945,410,386,310
3881,KU737352,4947,410,386,310
3882,KU743887,-1,126,123,111
3883,KU747973,2543,-1,-1,-1
3884,KU760857,-1,14,12,14
3885,KU761558,4354,1098,1314,1015
3886,KU761559,4354,1098,1314,1015
3887,KU761955,5264,382,357,742
3888,KU831549,-1,-1,-1,1071
3889,KU836751,3185,151,139,129
3890,KU847400,4845,410,386,310
3891,KU848186,1967,232,219,187
3892,KU848187,1899,-1,-1,-1
3893,KU862660,4980,-1,-1,742
3894,KU865302,5038,491,463,360
3895,KU865303,4515,888,831,593
3896,KU867307,-1,633,595,742
3897,KU867876,-1,633,595,742
3898,KU867906,4419,966,901,1015
3899,KU867907,5456,900,843,645
3900,KU873925,4686,-1,-1,742
3901,KU878088,3790,365,343,275
3902,KU878967,2207,269,252,3
3903,KU878968,5532,633,595,742
3904,KU878969,-1,633,595,742
3905,KU884561,1522,266,250,212
3906,KU884562,1523,266,250,212
3907,KU884563,1523,266,250,212
3908,KU884564,1522,266,250,212
3909,KU884565,1522,266,250,212
3910,KU885988,3376,267,251,213
3911,KU885989,-1,-1,-1,213
3912,KU885990,3376,267,251,213
3913,KU886222,4775,268,274,571
3914,KU886223,4775,268,274,571
3915,KU886224,-1,268,274,571
3916,KU886225,4784,268,274,571
3917,KU892558,-1,-1,-1,-1
3918,KU925172,-1,633,595,742
3919,KU927491,2207,269,252,3
3920,KU927492,2207,269,252,3
3921,KU927493,2009,-1,-1,-1
3922,KU927494,2207,269,252,3
3923,KU927495,2207,269,252,3
3924,KU927496,2207,269,252,3
3925,KU927497,-1,1432,595,742
3926,KU927498,2207,269,252,3
3927,KU927499,2524,-1,253,1031
3928,KU927500,-1,313,294,245
3929,KU935715,-1,-1,-1,-1
3930,KU935726,4205,121,115,103
3931,KU935727,-1,121,115,103
3932,KU935728,-1,-1,-1,103
3933,KU935729,-1,-1,-1,103
3934,KU935730,4205,121,115,103
3935,KU935731,-1,-1,115,103
3936,KU946962,2837,1385,1274,986
3937,KU948710,3734,417,393,258
3938,KU951146,3771,1364,873,668
3939,KU951147,3771,1364,873,668
3940,KU958700,-1,-1,-1,-1
3941,KU963245,4754,637,599,396
3942,KU963246,4210,625,586,454
3943,KU963247,4210,625,586,454
3944,KU963248,3927,270,254,593
3945,KU963249,-1,-1,-1,454
3946,KU963250,4437,605,565,559
3947,KU963251,-1,761,711,454
3948,KU963252,4060,-1,712,454
3949,KU963253,4323,271,1160,559
3950,KU963254,4206,761,711,454
3951,KU963255,4275,755,706,454
3952,KU963256,3970,-1,-1,898
3953,KU963257,4292,755,706,454
3954,KU963258,4644,637,599,396
3955,KU963259,4274,761,711,454
3956,KU963260,3508,830,776,594
3957,KU963261,-1,1249,1155,895
3958,KU963262,4644,637,599,396
3959,KU963263,-1,-1,706,454
3960,KU977419,-1,215,204,273
3961,KU977420,2092,215,204,273
3962,KU981050,1489,-1,-1,-1
3963,KU984914,4386,786,734,1015
3964,KU984979,2375,272,255,214
3965,KU984980,2375,272,255,214
3966,KU985090,4258,782,730,103
3967,KU985091,4498,786,734,1015
3968,KU985092,4731,966,901,1015
3969,KU985093,4480,1098,1314,1015
3970,KU985094,-1,966,901,1015
3971,KU985095,4480,1098,1314,1015
3972,KU985096,4308,1433,1314,1015
3973,KU992911,649,-1,-1,1228
3974,KU997639,4173,829,775,593
3975,KU998233,-1,-1,-1,360
3976,KU998234,4530,756,707,559
3977,KU998235,4059,-1,712,454
3978,KU998236,4107,761,711,454
3979,KU998237,3920,273,256,215
3980,KU998238,3920,273,256,215
3981,KU998239,3547,830,776,594
3982,KU998240,-1,526,497,396
3983,KU998241,4729,637,599,396
3984,KU998242,4617,637,599,396
3985,KU998243,4644,637,599,396
3986,KU998244,3987,1083,1013,593
3987,KU998245,3935,716,1013,593
3988,KU998246,-1,1083,1013,593
3989,KU998247,-1,1083,1013,593
3990,KU998248,4207,761,711,454
3991,KU998249,-1,563,532,1015
3992,KU998250,-1,563,532,1015
3993,KU998251,4033,563,532,1015
3994,KU998252,4459,274,257,396
3995,KU998253,4459,274,257,396
3996,KU998254,4459,274,257,396
3997,KU998255,829,275,258,216
3998,KU998256,829,275,258,216
3999,KX009778,-1,633,595,742
4000,KX011028,-1,1145,1066,310
4001,KX011169,4862,410,386,310
4002,KX015770,3502,1136,1059,807
4003,KX015771,3502,1136,1059,807
4004,KX017520,-1,-1,1011,775
4005,KX017521,-1,1432,595,742
4006,KX058879,1074,3,3,2
4007,KX066068,-1,-1,-1,-1
4008,KX077179,1545,-1,-1,-1
4009,KX077889,819,-1,-1,-1
4010,KX077890,2494,276,259,217
4011,KX077891,2494,-1,-1,-1
4012,KX077892,423,-1,-1,-1
4013,KX077893,423,-1,-1,-1
4014,KX077894,536,277,260,218
4015,KX077895,-1,-1,-1,-1
4016,KX077896,1142,-1,-1,956
4017,KX078568,2412,-1,261,219
4018,KX078569,5235,219,595,742
4019,KX098389,3442,278,262,258
4020,KX098390,3442,278,262,258
4021,KX098391,3442,278,262,258
4022,KX119174,427,279,263,220
4023,KX119175,415,-1,-1,-1
4024,KX119176,-1,-1,-1,220
4025,KX119177,436,-1,264,220
4026,KX119178,-1,-1,-1,-1
4027,KX119181,-1,-1,-1,-1
4028,KX119182,415,-1,-1,-1
4029,KX119183,-1,-1,-1,-1
4030,KX119188,434,-1,264,220
4031,KX119189,-1,-1,-1,-1
4032,KX119190,-1,-1,-1,220
4033,KX119191,-1,-1,-1,220
4034,KX119192,434,-1,264,220
4035,KX119193,-1,-1,-1,-1
4036,KX119194,437,-1,264,220
4037,KX119195,-1,-1,-1,-1
4038,KX119196,430,-1,-1,220
4039,KX119197,427,-1,-1,220
4040,KX119198,430,-1,-1,220
4041,KX119199,437,-1,264,220
4042,KX119200,415,280,265,221
4043,KX119201,415,280,265,221
4044,KX119202,-1,-1,-1,220
4045,KX119203,-1,-1,-1,220
4046,KX119204,-1,-1,-1,220
4047,KX119205,-1,-1,-1,220
4048,KX119206,427,279,263,220
4049,KX129925,1951,311,293,242
4050,KX130668,3278,1179,1327,807
4051,KX130726,-1,-1,-1,1031
4052,KX130727,-1,633,595,742
4053,KX130861,-1,633,595,742
4054,KX130862,-1,633,595,742
4055,KX130863,5324,1432,595,742
4056,KX130864,-1,633,595,742
4057,KX130865,-1,633,595,742
4058,KX130960,-1,181,168,807
4059,KX147096,5250,1676,1543,742
